ds,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-13,-11,-18,0.5,3.4,1,1,76,-15,-19,-14,-19,15,76,95,0.9,1032,-11,4,30,9
2020-01-14,-11,-20,0.3,3.4,1,1,69,-13,-18,-13,-18,18,94,96,2.2,1025,-11,7,40,11
2020-01-15,1,-8,6.3,3.4,1,1,61,-3,-7,-2,-7,31,92,90,3.7,1014,1,9,230,19
2020-01-16,-7,-14,0.0,0.0,1,1,54,-10,-14,-8,-14,22,96,90,1.7,1023,-7,7,286,15
2020-01-17,-15,-22,0.0,0.0,1,1,47,-20,-24,-19,-24,13,38,91,0.0,1036,-15,10,215,8
2020-01-18,-5,-19,0.0,0.0,11,11,40,-12,-20,-12,-20,35,99,95,60.3,1006,-5,3,90,24
2020-01-19,-9,-16,0.0,0.0,11,11,32,-12,-19,-11,-19,32,100,92,4.5,1001,-9,5,284,22
2020-01-20,-15,-23,0.0,0.0,11,11,25,-19,-26,-18,-26,24,100,87,0.2,1020,-15,9,286,15
2020-01-21,-21,-30,0.0,0.0,11,11,18,-24,-33,-25,-33,19,66,95,0.0,1032,-21,7,257,11
2020-01-22,0,-24,0.0,0.0,11,11,11,-20,-27,-20,-27,17,71,95,0.0,1029,0,5,263,10
2020-01-23,-13,-26,0.0,0.0,11,11,3,-17,-22,-16,-22,20,81,92,0.2,1029,-13,8,172,10
2020-01-24,-4,-12,0.0,0.0,11,11,0,-7,-10,-5,-10,20,76,90,0.8,1016,-4,9,190,11
2020-01-25,-9,-13,0.0,0.0,11,11,0,-12,-18,-12,-18,26,89,93,3.2,1010,-9,6,167,15
2020-01-26,-18,-21,0.0,0.0,11,11,4,-16,-21,-15,-21,24,57,91,0.2,1017,-18,8,191,14
