ds,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-12 00:00:00,-8,-14,44.6,3.4,1,0,83,-8,-7,-3,-7,43,100,92,8.3,1014,-4,8,29,30
2020-01-12 01:00:00,-8,-14,44.6,3.4,1,0,83,-9,-13,-6,-13,42,100,92,10.6,1014,-7,8,30,29
2020-01-12 02:00:00,-8,-14,44.6,3.4,1,0,83,-10,-18,-9,-18,41,100,92,13.0,1014,-9,8,30,28
2020-01-12 03:00:00,-8,-14,44.6,3.4,1,0,83,-10,-18,-9,-18,44,100,92,11.5,1013,-9,8,31,30
2020-01-12 04:00:00,-8,-14,44.6,3.4,1,0,83,-10,-19,-9,-19,47,100,92,10.0,1011,-9,8,33,32
2020-01-12 05:00:00,-8,-14,44.6,3.4,1,0,83,-10,-19,-9,-19,49,100,92,8.5,1010,-9,8,34,33
2020-01-12 06:00:00,-8,-14,44.6,3.4,1,0,83,-10,-18,-9,-18,49,100,92,11.5,1009,-9,8,31,33
2020-01-12 07:00:00,-8,-14,44.6,3.4,1,0,83,-9,-18,-8,-18,49,100,92,14.5,1007,-8,8,28,33
2020-01-12 08:00:00,-8,-14,44.6,3.4,1,1,83,-9,-17,-8,-17,49,100,92,17.5,1006,-8,8,25,33
2020-01-12 09:00:00,-8,-14,44.6,3.4,1,1,83,-9,-17,-8,-17,45,100,92,12.5,1008,-8,6,25,30
2020-01-12 10:00:00,-8,-14,44.6,3.4,1,1,83,-9,-17,-8,-17,41,100,92,7.6,1009,-8,4,25,28
2020-01-12 11:00:00,-8,-14,44.6,3.4,1,1,83,-10,-17,-8,-17,37,100,92,2.6,1011,-8,2,25,25
2020-01-12 12:00:00,-8,-14,44.6,3.4,1,1,83,-10,-17,-9,-17,34,100,91,2.9,1013,-9,2,131,24
2020-01-12 13:00:00,-8,-14,44.6,3.4,1,1,83,-10,-17,-9,-17,31,100,91,3.3,1015,-9,2,236,22
2020-01-12 14:00:00,-8,-14,44.6,3.4,1,1,83,-10,-17,-9,-17,28,100,90,3.6,1018,-9,2,341,21
2020-01-12 15:00:00,-8,-14,44.6,3.4,1,1,83,-10,-15,-9,-15,23,98,90,2.5,1021,-9,3,327,17
2020-01-12 16:00:00,-8,-14,44.6,3.4,1,1,83,-10,-14,-8,-14,18,96,90,1.3,1023,-8,4,312,12
2020-01-12 17:00:00,-8,-14,44.6,3.4,1,0,83,-9,-12,-8,-12,12,94,90,0.2,1026,-8,5,298,8
2020-01-12 18:00:00,-8,-14,44.6,3.4,1,0,83,-10,-13,-9,-13,12,96,90,0.2,1029,-9,5,307,7
2020-01-12 19:00:00,-8,-14,44.6,3.4,1,0,83,-11,-14,-10,-14,11,98,90,0.2,1031,-10,5,317,6
2020-01-12 20:00:00,-8,-14,44.6,3.4,1,0,83,-13,-14,-11,-14,10,100,90,0.2,1033,-11,5,326,5
2020-01-12 21:00:00,-8,-14,44.6,3.4,1,0,83,-13,-16,-12,-16,12,91,90,0.2,1033,-12,7,231,6
2020-01-12 22:00:00,-8,-14,44.6,3.4,1,0,83,-14,-17,-13,-17,13,82,91,0.1,1033,-13,8,136,6
2020-01-12 23:00:00,-8,-14,44.6,3.4,1,0,83,-15,-19,-14,-19,14,74,92,0.1,1034,-14,10,42,7
2020-01-13 00:00:00,-10,-17,0.4,3.4,1,0,76,-15,-19,-14,-19,14,76,94,0.1,1034,-14,7,34,7
2020-01-13 01:00:00,-10,-17,0.4,3.4,1,0,76,-15,-19,-15,-19,13,79,95,0.0,1034,-15,5,27,6
2020-01-13 02:00:00,-10,-17,0.4,3.4,1,0,76,-16,-20,-15,-20,13,82,97,0.0,1034,-15,2,20,6
2020-01-13 03:00:00,-10,-17,0.4,3.4,1,0,76,-16,-20,-15,-20,14,73,96,0.0,1034,-15,2,23,7
2020-01-13 04:00:00,-10,-17,0.4,3.4,1,0,76,-16,-21,-16,-21,15,64,96,0.0,1034,-16,2,26,8
2020-01-13 05:00:00,-10,-17,0.4,3.4,1,0,76,-16,-21,-16,-21,16,55,95,0.0,1034,-16,2,29,8
2020-01-13 06:00:00,-10,-17,0.4,3.4,1,0,76,-17,-22,-16,-22,18,57,96,0.0,1034,-16,2,29,9
2020-01-13 07:00:00,-10,-17,0.4,3.4,1,0,76,-17,-23,-17,-23,20,59,96,0.0,1033,-17,2,29,10
2020-01-13 08:00:00,-10,-17,0.4,3.4,1,1,76,-18,-24,-17,-24,22,61,97,0.0,1033,-17,2,30,10
2020-01-13 09:00:00,-10,-17,0.4,3.4,1,1,76,-17,-23,-16,-23,20,58,96,0.0,1032,-16,2,30,11
2020-01-13 10:00:00,-10,-17,0.4,3.4,1,1,76,-16,-22,-15,-22,19,55,95,0.0,1032,-15,2,30,12
2020-01-13 11:00:00,-10,-17,0.4,3.4,1,1,76,-15,-21,-14,-21,17,52,94,0.0,1031,-14,2,31,12
2020-01-13 12:00:00,-10,-17,0.4,3.4,1,1,76,-13,-19,-13,-19,15,67,94,0.0,1030,-13,3,32,10
2020-01-13 13:00:00,-10,-17,0.4,3.4,1,1,76,-12,-17,-11,-17,13,82,94,0.1,1030,-11,4,33,9
2020-01-13 14:00:00,-10,-17,0.4,3.4,1,1,76,-11,-15,-10,-15,10,97,95,0.1,1029,-10,5,34,8
2020-01-13 15:00:00,-10,-17,0.4,3.4,1,1,76,-11,-14,-10,-14,10,98,95,0.2,1029,-10,4,24,8
2020-01-13 16:00:00,-10,-17,0.4,3.4,1,1,76,-11,-14,-10,-14,10,99,95,0.4,1029,-10,3,15,8
2020-01-13 17:00:00,-10,-17,0.4,3.4,1,0,76,-10,-14,-10,-14,10,100,95,0.5,1029,-10,2,6,7
2020-01-13 18:00:00,-10,-17,0.4,3.4,1,0,76,-11,-14,-11,-14,10,89,95,0.5,1029,-11,3,121,6
2020-01-13 19:00:00,-10,-17,0.4,3.4,1,0,76,-12,-15,-11,-15,9,78,95,0.5,1029,-11,4,237,5
2020-01-13 20:00:00,-10,-17,0.4,3.4,1,0,76,-12,-15,-12,-15,9,67,95,0.5,1030,-12,5,353,5
2020-01-13 21:00:00,-10,-17,0.4,3.4,1,0,76,-13,-15,-12,-15,8,61,95,0.3,1030,-12,4,338,4
2020-01-13 22:00:00,-10,-17,0.4,3.4,1,0,76,-13,-15,-12,-15,8,55,94,0.2,1030,-12,3,323,4
2020-01-13 23:00:00,-10,-17,0.4,3.4,1,0,76,-13,-15,-13,-15,8,49,94,0.0,1031,-13,2,309,4
2020-01-14 00:00:00,-10,-17,2.0,3.4,1,0,69,-14,-15,-13,-15,6,47,94,0.0,1031,-13,2,299,3
2020-01-14 01:00:00,-10,-17,2.0,3.4,1,0,69,-15,-15,-14,-15,6,45,95,0.0,1031,-14,2,290,3
2020-01-14 02:00:00,-10,-17,2.0,3.4,1,0,69,-16,-15,-15,-15,5,43,95,0.0,1031,-15,2,280,2
2020-01-14 03:00:00,-10,-17,2.0,3.4,1,0,69,-16,-15,-15,-15,4,50,96,0.0,1031,-15,1,229,2
2020-01-14 04:00:00,-10,-17,2.0,3.4,1,0,69,-16,-16,-16,-16,3,58,97,0.0,1031,-16,1,177,1
2020-01-14 05:00:00,-10,-17,2.0,3.4,1,0,69,-16,-16,-16,-16,2,65,97,0.0,1032,-16,0,125,1
2020-01-14 06:00:00,-10,-17,2.0,3.4,1,0,69,-16,-17,-16,-17,5,71,97,0.0,1032,-16,0,97,2
2020-01-14 07:00:00,-10,-17,2.0,3.4,1,0,69,-16,-18,-16,-18,7,77,97,0.0,1032,-16,0,69,4
2020-01-14 08:00:00,-10,-17,2.0,3.4,1,1,69,-16,-20,-16,-20,10,84,97,0.0,1032,-16,0,40,5
2020-01-14 09:00:00,-10,-17,2.0,3.4,1,1,69,-16,-19,-15,-19,10,89,97,0.0,1031,-15,1,42,5
2020-01-14 10:00:00,-10,-17,2.0,3.4,1,1,69,-15,-18,-14,-18,10,95,96,0.0,1031,-14,1,44,6
2020-01-14 11:00:00,-10,-17,2.0,3.4,1,1,69,-14,-18,-13,-18,10,100,96,0.0,1030,-13,2,46,7
2020-01-14 12:00:00,-10,-17,2.0,3.4,1,1,69,-13,-17,-12,-17,11,94,96,0.0,1029,-12,2,48,8
2020-01-14 13:00:00,-10,-17,2.0,3.4,1,1,69,-12,-16,-11,-16,12,87,95,0.0,1028,-11,2,49,9
2020-01-14 14:00:00,-10,-17,2.0,3.4,1,1,69,-11,-15,-10,-15,13,81,95,0.0,1027,-10,2,51,10
2020-01-14 15:00:00,-10,-17,2.0,3.4,1,1,69,-11,-16,-10,-16,15,84,95,0.0,1025,-10,2,47,11
2020-01-14 16:00:00,-10,-17,2.0,3.4,1,1,69,-11,-17,-11,-17,18,86,95,0.0,1024,-11,2,44,12
2020-01-14 17:00:00,-10,-17,2.0,3.4,1,0,69,-11,-17,-11,-17,20,89,95,0.0,1023,-11,2,40,12
2020-01-14 18:00:00,-10,-17,2.0,3.4,1,0,69,-12,-18,-11,-18,22,92,96,0.0,1022,-11,5,37,13
2020-01-14 19:00:00,-10,-17,2.0,3.4,1,0,69,-12,-18,-12,-18,24,95,96,0.0,1022,-12,7,34,14
2020-01-14 20:00:00,-10,-17,2.0,3.4,1,0,69,-13,-19,-12,-19,27,98,96,0.0,1021,-12,10,30,14
2020-01-14 21:00:00,-10,-17,2.0,3.4,1,0,69,-12,-18,-13,-18,24,98,96,0.5,1019,-14,7,33,14
2020-01-14 22:00:00,-10,-17,2.0,3.4,1,0,69,-11,-18,-14,-18,22,99,96,1.0,1018,-15,5,35,13
2020-01-14 23:00:00,-10,-17,2.0,3.4,1,0,69,-10,-17,-15,-17,19,100,96,1.5,1017,-17,2,38,12
2020-01-15 00:00:00,1,-9,0.0,0.0,1,0,61,-10,-16,-13,-16,19,100,96,2.2,1016,-14,2,27,12
2020-01-15 01:00:00,1,-9,0.0,0.0,1,0,61,-10,-15,-11,-15,19,100,96,3.0,1015,-12,2,16,11
2020-01-15 02:00:00,1,-9,0.0,0.0,1,0,61,-10,-14,-9,-14,19,100,96,3.7,1014,-9,2,5,10
2020-01-15 03:00:00,1,-9,0.0,0.0,1,0,61,-9,-12,-9,-12,14,100,96,3.0,1013,-9,2,90,8
2020-01-15 04:00:00,1,-9,0.0,0.0,1,0,61,-9,-10,-9,-10,9,100,96,2.2,1013,-9,2,175,5
2020-01-15 05:00:00,1,-9,0.0,0.0,1,0,61,-9,-8,-8,-8,3,100,96,1.5,1012,-8,2,260,2
2020-01-15 06:00:00,1,-9,0.0,0.0,1,0,61,-7,-8,-6,-8,9,100,96,1.6,1013,-6,2,263,5
2020-01-15 07:00:00,1,-9,0.0,0.0,1,0,61,-5,-7,-4,-7,14,100,97,1.6,1013,-4,2,266,8
2020-01-15 08:00:00,1,-9,0.0,0.0,1,1,61,-3,-7,-2,-7,20,100,97,1.7,1013,-2,2,269,12
2020-01-15 09:00:00,1,-9,0.0,0.0,1,1,61,-2,-6,-1,-6,25,100,97,1.1,1014,-1,5,266,15
