date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-22 00:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-10,-8,-8,-8,5,77,89,0.0,1028,-8,10,59,3
2019-12-22 01:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-9,-8,-8,-8,6,85,89,0.0,1027,-8,10,71,3
2019-12-22 02:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-9,-8,-8,-8,7,92,90,0.0,1026,-8,10,83,4
2019-12-22 03:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-9,-8,-7,-8,8,100,90,0.0,1026,-7,10,95,4
2019-12-22 04:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-8,-8,-6,-8,10,100,90,0.0,1025,-6,10,124,5
2019-12-22 05:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-7,-8,-6,-8,12,100,90,0.0,1024,-6,10,153,6
2019-12-22 06:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-7,-9,-5,-9,14,100,90,0.0,1023,-5,10,181,8
2019-12-22 07:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-6,-8,-4,-8,16,100,89,0.0,1023,-4,10,190,9
2019-12-22 08:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-5,-8,-4,-8,19,100,88,0.0,1022,-4,10,198,11
2019-12-22 09:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-5,-7,-3,-7,22,100,87,0.0,1022,-3,10,207,13
2019-12-22 10:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-4,-6,-2,-6,24,100,87,0.0,1021,-2,10,213,14
2019-12-22 11:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-3,-5,-1,-5,26,100,87,0.0,1020,-1,10,220,15
2019-12-22 12:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-2,-5,0,-5,28,100,87,0.0,1020,0,10,226,17
2019-12-22 13:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-1,-4,1,-4,27,100,89,0.0,1019,1,10,231,16
2019-12-22 14:00:00,2,-8,0.0,3.3,1,1,21,03:19 AM,01:59 PM,07:32 AM,04:14 PM,-0,-3,1,-3,25,100,90,0.0,1019,1,10,236,15
